"CellId","AltFreq","AltPos","SepBF","Pval1","Pval2","PrMix","PrAve","PrOut","PrSing","WinModels","WinPr","MlpxRate","PrState1","Switch12","Switch21","ProbMlpx","PvalSep","PrBinSep","MinSampSize","Pswitch0_10","Pswitch10_20","Pswitch20_30","Pswitch30_40","Pswitch40_50","Pswitch50_60","Pswitch60_70","Pswitch70_80","Pswitch80_90","Pswitch90_100","Rule_5_5_5","PairId","MinMax_Median","MinMax_Mode1","MinMax_Mode2","MinMax_ModeDen1","MinMax_ModeDen2","MinMax_Dec1Prob","MinMax_Dec2Prob","MinMax_Dec3Prob","MinMax_Dec4Prob","MinMax_Dec5Prob","MinMax_Dec6Prob","MinMax_Dec7Prob","MinMax_Dec8Prob","MinMax_Dec9Prob","MinMax_Dec10Prob","LS75_Median","LS125_Median","LS200_Median","LS300_Median","LS500_Median","Alpha_bar_median","Alpha_bar_Mode1","Alpha_bar_Mode2","Alpha_bar_ModeDen1","Alpha_bar_ModeDen2","Alpha_bar_Dec1Prob","Alpha_bar_Dec2Prob","Alpha_bar_Dec3Prob","Alpha_bar_Dec4Prob","Alpha_bar_Dec5Prob","Alpha_bar_Dec6Prob","Alpha_bar_Dec7Prob","Alpha_bar_Dec8Prob","Alpha_bar_Dec9Prob","Alpha_bar_Dec10Prob","Switch_0.2Mean","Switch_0.4Mean","Switch_0.6Mean"
"PSIC111510Loc_DoubleSound",1100,-24,44.246,0.2068,0.1294,0.037451199,0.916661926,1.1e-05,0.045875845,"Average",0.916661926,0.71,0.36,0.51,0.36,0.79,0,0,10,0,0,0,0,0,1,2,1,3,0,TRUE,NA,0.396129533568087,0.431668369080705,NA,1.6515215507557,NA,0.11,0.11,0.17,0.11,0.21,0.11,0.08,0.06,0.03,0.01,0.0856600245229857,0.0141901927811787,0.0576272000758945,0.0303503156755758,0.0352964610170265,0.485784419186372,0.508227781502697,0.267051257236044,2.89700505547478,1.27554495792434,0,0,0.142857142857143,0.148809523809524,0.244047619047619,0.261904761904762,0.202380952380952,0,0,0,1.23,0.67,0.23
"YKIC140225Loc_DoubleSound",500,6,5.3843,0.4374,0.2218,0.911456587,0.029354444,4.09e-05,0.05914807,"Mixture",0.911456587,0.52,0.63,0.37,0.37,0.55,0.01,0,5,0,1,1,1,0,0,2,2,0,0,TRUE,1,0.259879655702932,0.105357440087228,NA,1.62077884752078,NA,0.27,0.13,0.12,0.08,0.12,0.08,0.05,0.1,0.04,0.01,0.133737906739614,0.0447988071247638,0.0829217345736126,0.026163282294845,0.0358312002765952,0.471623308557307,0.221277755157605,0.480352899195161,1.7311418464044,1.33185707891973,0,0.132142857142857,0.228571428571429,0.0678571428571429,0.171428571428571,0.114285714285714,0,0,0.110714285714286,0.175,1.4,0.68,0.27
"PSIC110110Loc_DoubleSound",1100,-24,43.1519,0.6397,0.5384,0.075377452,0.908148744,7.66e-05,0.016397161,"Average",0.908148744,0.72,0.44,0.53,0.45,0.83,0,0,10,0,0,0,0,0,0,1,1,4,0,TRUE,NA,0.280196866569535,0.156330279457534,NA,1.86214486178724,NA,0.14,0.22,0.17,0.15,0.08,0.09,0.05,0.04,0.05,0.01,0.0686922271234153,0.0248372346680936,0.0508591311985037,0.0811543615093463,0.0795062704100663,0.510890451809851,0.479046965940618,0.589973611158014,3.8080315280638,3.18188503099079,0,0,0.111111111111111,0.0555555555555556,0.305555555555556,0.326388888888889,0.201388888888889,0,0,0,1.02,0.53,0.2
"YKIC092311_1Loc_DoubleSound",500,6,86.4757,0.1577,0.3286,0.028139164,0.900150837,0.001199449,0.07051055,"Average",0.900150837,0.39,0.21,0.33,0.22,0.33,0,0,8,0,0,4,0,0,0,0,1,0,0,TRUE,NA,0.141194630588208,0.0783216964967429,0.401104131787988,3.47800900199559,0.794219959188014,0.39,0.23,0.15,0.06,0.08,0.04,0.03,0.01,0,0.01,0.0270787527961164,0.0775693694589211,0.0155976456638559,0.103917131867974,0.0816660770010444,0.151098812251737,0.125812784066633,NA,7.71580426105928,NA,0.0416666666666667,0.683333333333333,0.275,0,0,0,0,0,0,0,0.5,0.2,0.06
"PSIC091710Loc_DoubleSound",1100,-24,38.8746,0.4719,0.2363,0.899173515,0.089244164,0.001043391,0.01053893,"Mixture",0.899173515,0.46,0.64,0.26,0.31,0.45,0,0,23,0,0,1,1,2,2,0,0,0,0,TRUE,NA,0.338129672465802,0.294585181704708,0.6731294319748,1.76079240691497,0.711788813617972,0.11,0.17,0.18,0.21,0.08,0.05,0.08,0.07,0.04,0.01,0.0344873483905102,0.0614305739344093,0.168936484337903,0.0152963377863795,0.0376551598090111,0.446132419380985,0.437972946750732,0.59988237200897,4.06022896101399,2.20190281193421,0,0.0277777777777778,0.138888888888889,0.0694444444444444,0.4375,0.159722222222222,0.166666666666667,0,0,0,1.06,0.39,0.21
"PSIC111910Loc_DoubleSound",1100,6,37.7721,0.5794,0.4467,0.101574866,0.896946417,9.4e-06,0.001469315,"Average",0.896946417,0.64,0.46,0.35,0.31,0.71,0,0,11,0,0,0,0,2,2,2,5,1,0,TRUE,NA,0.285680164557342,0.118184375081658,NA,1.63453598234084,NA,0.21,0.16,0.18,0.11,0.09,0.1,0.07,0.06,0.02,0,0.110572811480835,0.0221562393511424,0.246743340290322,0.0269897448294853,0.0309055369466029,0.57697451233251,0.69848410166188,0.10144808378347,1.49714467160988,0.98870827867711,0.166666666666667,0.0625,0.0798611111111111,0.0451388888888889,0.0347222222222222,0.149305555555556,0.125,0.180555555555556,0.142361111111111,0.0138888888888889,1.07,0.46,0.17
"YKIC092911_1Loc_DoubleSound",903,-6,16.2413,0.1642,0.4888,0.008458399,0.896375955,2.47e-05,0.095140992,"Average",0.896375955,0.54,0.78,0.37,0.47,0.58,0.01,0,5,0,0,0,2,1,6,4,0,1,0,TRUE,NA,0.138527723959194,0.0863989883538537,0.597121882772513,3.9823590166087,0.204812623167619,0.39,0.32,0.16,0.07,0.01,0.02,0.02,0,0.01,0,0.00430840791104602,0.0126395453483274,0.00944485982340722,0.792120442371378,0.00937855524083457,0.56786990939083,0.567150795924885,0.490194172401349,7.25886816565062,2.86543918152152,0,0,0,0,0.196428571428571,0.479166666666667,0.181547619047619,0,0.0119047619047619,0.130952380952381,0.32,0.06,0.03
"PSIC111210Loc_DoubleSound",609,6,32.6712,0.755,0.4426,0.035778658,0.883023287,4.38e-05,0.081154243,"Average",0.883023287,0.65,0.76,0.29,0.4,0.73,0,0,12,0,0,0,0,0,3,2,1,2,0,TRUE,NA,0.249668355934703,0.102427657123655,0.578412849905058,1.71140077568842,0.862826450158777,0.28,0.16,0.12,0.09,0.04,0.11,0.1,0.05,0.03,0.02,0.0573347441723807,0.0695008226551591,0.0214040858594474,0.0634035511085348,0.00883835759927931,0.754124864955136,0.789435937581286,0.345538915608443,4.49768029711941,1.07935094129847,0,0,0.0104166666666667,0.119791666666667,0.0416666666666667,0.046875,0.192708333333333,0.348958333333333,0.239583333333333,0,1,0.47,0.21
"YKIC110311Loc_DoubleSound",903,24,27.0637,0.5713,0.1782,0.878271919,0.01337726,0.001037129,0.107313692,"Mixture",0.878271919,0.18,0.83,0.34,0.38,0.06,0,0,16,7,8,4,2,0,0,0,0,0,0,TRUE,NA,0.0184122952986667,0.0139953219470556,0.363727926447613,5.66450542232049,0.644868813406462,0.69,0.08,0.06,0.07,0.02,0.06,0.01,0,0,0.01,0.103636176466585,0.00932793718454467,0.177241248892181,0.010198695730334,0.105542442185492,0.98405411941423,0.985280613854541,0.387448777918885,3.51974839578849,1.12809379870042,0,0,0.0277777777777778,0.140873015873016,0.0813492063492064,0.0793650793650794,0.00396825396825397,0.0436507936507936,0.00396825396825397,0.619047619047619,0.38,0.13,0.03
"PSIC111510Loc_DoubleSound",1100,-6,21.486,0.2729,0.7306,0.876318195,0.052917244,9.13e-06,0.070755428,"Mixture",0.876318195,0.41,0.37,0.29,0.25,0.35,0,0,14,0,0,2,4,4,3,0,0,0,0,TRUE,NA,0.18396732884465,0.0704598384174029,NA,2.02382090590755,NA,0.38,0.14,0.13,0.09,0.06,0.06,0.07,0.02,0.02,0.03,0.0275176124386121,0.0890581825008177,0.0219928784618125,0.0254088507888093,0.0361435618495312,0.4062275060624,0.163720832921927,0.48532731487475,2.01843318131003,1.20491468525279,0.00961538461538462,0.298076923076923,0.153846153846154,0.0384615384615385,0.150641025641026,0.118589743589744,0,0,0.230769230769231,0,0.83,0.4,0.18
"YKIC100111Loc_DoubleSound",609,-6,19.1768,0.4274,0.3193,0.872752356,0.092143933,1.25e-05,0.035091251,"Mixture",0.872752356,0.35,0.71,0.29,0.35,0.24,0,0,5,0,2,3,1,1,1,0,0,0,0,TRUE,NA,0.29074603594925,0.174477910906152,0.668904597240291,1.73866632348696,0.830716424597683,0.14,0.23,0.15,0.1,0.08,0.03,0.12,0.08,0.05,0.02,0.0335420498340048,0.0307174356280416,0.0954709050427568,0.0398366837214899,0.0426259606353414,0.654008742029586,0.667878477370162,0.409078406607567,3.0677373202563,0.83147843017117,0,0.0729166666666667,0.0364583333333333,0.0677083333333333,0.0729166666666667,0.078125,0.390625,0.15625,0.125,0,1.07,0.56,0.35
