"CellId","AltFreq","AltPos","PairId","MinMax_Median","MinMax_Mode1","MinMax_Mode2","MinMax_ModeDen1","MinMax_ModeDen2","MinMax_Dec1Prob","MinMax_Dec2Prob","MinMax_Dec3Prob","MinMax_Dec4Prob","MinMax_Dec5Prob","MinMax_Dec6Prob","MinMax_Dec7Prob","MinMax_Dec8Prob","MinMax_Dec9Prob","MinMax_Dec10Prob","LS75_Median","LS125_Median","LS200_Median","LS300_Median","LS500_Median","Alpha_bar_median","Alpha_bar_Mode1","Alpha_bar_Mode2","Alpha_bar_ModeDen1","Alpha_bar_ModeDen2","Alpha_bar_Dec1Prob","Alpha_bar_Dec2Prob","Alpha_bar_Dec3Prob","Alpha_bar_Dec4Prob","Alpha_bar_Dec5Prob","Alpha_bar_Dec6Prob","Alpha_bar_Dec7Prob","Alpha_bar_Dec8Prob","Alpha_bar_Dec9Prob","Alpha_bar_Dec10Prob","Switch_0.2Mean","Switch_0.4Mean","Switch_0.6Mean"
"YKIC090211_1Loc_DoubleSound",500,24,NA,0.159586246111657,0.0800512405968759,0.558627226236677,2.82400005082489,0.362387736674043,0.33,0.23,0.2,0.11,0.03,0.04,0.01,0.01,0.04,0,0.0457667309452552,0.00764117578632776,0.023090454560533,0.0354633350420091,0.605855533092952,0.244695059978971,0.124779540906233,0.39921298617009,3.08573658233837,1.61484153293595,0.0902777777777778,0.333333333333333,0.145833333333333,0.134259259259259,0.148148148148148,0.0509259259259259,0.0671296296296296,0.0300925925925926,0,0,0.63,0.22,0.07
"PSIC110210Loc_DoubleSound",609,6,NA,0.0479162956857942,0.0320893013107228,0.772200020955962,4.254036940627,0.300470152958108,0.64,0.07,0.11,0.06,0.04,0.02,0,0.04,0.01,0.01,0.0295777525803658,0.0261945777702272,0.145493873084642,0.0477166971340688,0.0619062975101305,0.084155661116087,0.0601539156269572,0.852907039946169,9.79255216572773,2.58239752133281,0.694444444444444,0.0833333333333333,0,0,0,0,0,0.0462962962962963,0.175925925925926,0,0.46,0.18,0.09
"YKIC090211_1Loc_DoubleSound",500,6,NA,0.129379820125961,0.0430425775034084,0.890355100260013,2.76522543392815,0.0596811798097636,0.47,0.15,0.13,0.11,0.06,0.03,0.03,0.01,0.01,0,0.0145043065734011,0.00953868776563715,0.0248554831151634,0.0921140450284062,0.0912646744953839,0.198247335949645,0.0441180492508784,0.544883063422137,2.49626923318981,1.38326941015287,0.429166666666667,0.0708333333333333,0.0395833333333333,0.0375,0.0729166666666667,0.195833333333333,0.0708333333333333,0.075,0.00833333333333333,0,0.6,0.18,0.06
"YKIC140219Loc_DoubleSound",1100,-6,2,0.338780402772272,0.135878923628417,0.278977553702566,1.37220032158206,1.36074827299593,0.19,0.12,0.14,0.15,0.1,0.04,0.14,0.05,0.07,0,0.606028323102542,0.0097451317059676,0.00351739524743791,0.0155459770896039,0.0189130479480386,0.587581492124345,0.688731056950637,0.0751537085419277,1.91779052839565,1.81837289192241,0.301315789473684,0.0144736842105263,0.00921052631578947,0.0394736842105263,0.0592105263157895,0.1,0.213157894736842,0.197368421052632,0.0657894736842105,0,1.73,0.84,0.43
"PSIC111710Loc_DoubleSound",500,-6,NA,0.0959719586308243,0.0473262120456116,0.629092753683554,3.79169698345178,0.159750307088375,0.51,0.23,0.12,0.1,0.02,0,0.02,0,0,0,0.686871871771225,0.0167965637534779,0.00734092156889091,0.0211555098267508,0.021127037487679,0.926778543203316,0.925217045843253,0.940285306710831,22.2851471585545,19.8659333860221,0,0,0,0,0,0,0,0,0.0347222222222222,0.965277777777778,0.46,0.05,0.02
"PSIC051111Loc_DoubleSound",903,-24,NA,0.263753261011587,0.131476327862008,NA,1.7833530092184,NA,0.2,0.22,0.13,0.11,0.11,0.06,0.07,0.04,0.05,0.01,0.0214989601709989,0.0140970818111676,0.066709730729971,0.293165226672041,0.0237229923014674,0.564860137168595,0.815178629768622,0.20238968803258,1.51578741573995,1.1894497339698,0,0.136904761904762,0.110119047619048,0.0803571428571429,0.136904761904762,0.0833333333333333,0.113095238095238,0.130952380952381,0.172619047619048,0.0357142857142857,0.83,0.44,0.2
"YKIC100111_1Loc_DoubleSound",500,-24,NA,0.260404358224954,0.25316858332573,NA,2.07004797152366,NA,0.2,0.19,0.24,0.17,0.06,0.07,0.01,0.04,0.02,0,0.0575172738431485,0.244152723118119,0.0164790794946039,0.0381303385271532,0.067466222956721,0.625939373286879,0.624053498524562,NA,5.74128963378362,NA,0,0,0,0,0,0.34469696969697,0.5,0.15530303030303,0,0,0.9,0.29,0.09
"YKIC140220Loc_DoubleSound",1988,-6,2,0.090302706951891,0.0552321618305545,0.35320029420393,4.78590760028313,0.621953174255214,0.52,0.25,0.09,0.07,0.01,0.01,0.03,0,0.02,0,0.477016072182157,0.0585684837786993,0.0529964748803061,0.00481908672947292,0.0448573285518332,0.276485418484243,0.0640264141368688,0.277273348692294,1.82260137000906,1.54659736756396,0.329838709677419,0.0459677419354839,0.204032258064516,0.125,0.00483870967741936,0,0,0,0,0.290322580645161,0.45,0.17,0.1
"YKIC110411_1Loc_DoubleSound",903,6,NA,0.0623253901828626,0.0330415318859287,0.577962161941225,3.22457106118279,0.514642926680504,0.57,0.12,0.09,0.06,0.03,0.07,0.03,0.02,0.01,0,0.0043334589477053,0.0361373437262403,0.0730329895357047,0.366060628215054,0.0303376620655342,0.463631153555111,0.0377607940665452,0.841677937460306,1.66688079926489,1.30956251328986,0.357142857142857,0.056547619047619,0.0505952380952381,0.0133928571428571,0.03125,0.0476190476190476,0.0863095238095238,0.0818452380952381,0.186011904761905,0.0892857142857143,0.41,0.18,0.06
"YKIC140221Loc_DoubleSound",1100,24,1,0.318068824744673,0.106718781770435,0.562588071474866,1.44223413577846,1.12443472370667,0.24,0.16,0.08,0.07,0.05,0.17,0.1,0.05,0.06,0.02,0.0125242419189768,0.0251331539951974,0.0487186788159189,0.526874270955461,0.0138276087338618,0.636326581167277,0.875920469987037,0.739949214026107,1.66396954617051,1.48786651459609,0.0675925925925926,0.0189814814814815,0.0615740740740741,0.109722222222222,0.099537037037037,0.10462962962963,0.128240740740741,0.160648148148148,0.155092592592593,0.0939814814814815,1.01,0.66,0.28
