"CellId","AltFreq","AltPos","PairId","MinMax_Median","MinMax_Mode1","MinMax_Mode2","MinMax_ModeDen1","MinMax_ModeDen2","LS3_Median","LS5_Median","LS8_Median","LS12_Median","LS20_Median","Alpha_bar_median","Alpha_bar_Mode1","Alpha_bar_Mode2","Alpha_bar_ModeDen1","Alpha_bar_ModeDen2","Switch_0.2Mean","Switch_0.4Mean","Switch_0.6Mean"
"PSIC031711Loc_DoubleSound",1100,-24,NA,0.281426392576129,0.0711148994349633,NA,2.06672120225813,NA,0.0220809374341811,0.00842616708546889,0.000905553375851698,0.00102382014946509,0.629796859820788,0.612415856552252,0.708855213581755,NA,2.20562851530437,NA,0.66056,0.30828,0.11292
"YKIC090111_1Loc_DoubleSound",903,-24,NA,0.281215428997525,0.0671429845634024,NA,2.14653569565565,NA,0.0985582881130835,0.0163726912497684,0.00108201369711429,0.000984797671549339,0.317570199287574,0.181764001764937,0.138613049723913,0.628723170979835,5.190531094428,0.139774621514557,0.74048,0.32648,0.12024
"YKIC140528Loc_DoubleSound",500,24,1,0.346188613078248,0.0946637414293115,0.415696074932291,1.75377324237817,1.15148935324926,0.0663401876236878,0.0220278186385845,0.00149893193005086,0.00103972582671211,0.253439111185794,0.50544748305542,0.523494587804376,NA,3.12464195622986,NA,0.87592,0.40044,0.13244
"YKIC140528Loc_DoubleSound",500,6,1,0.304371430696648,0.087703564354521,NA,1.94778259162359,NA,0.0369099506250361,0.00865294230924826,0.000962646583776912,0.00128720691266501,0.448793105955088,0.478733163010793,0.532236197418013,0.468227035394903,1.94467589568101,1.94115932103456,0.76596,0.3598,0.13468
"YKIC092911_1Loc_DoubleSound",903,-24,NA,0.314480603717259,0.108164148333826,NA,1.9768401809658,NA,0.0755833799100801,0.00614439934960527,0.000519501449016502,0.000383452363276846,0.416805800454843,0.495534582203803,0.491810835248024,0.974526144896624,3.66361407157094,0.00411984807807629,0.9122,0.40132,0.12828
"YKIC140128Loc_DoubleSound",500,6,1,0.307191367137964,0.0818371550593045,NA,1.94051453948666,NA,0.0360273280300528,0.0123189318346501,0.00145669081618415,0.0012764383916522,0.407691575947391,0.426946349440188,0.274822789142354,0.534481498444525,1.75262574022011,1.51466473512817,0.76332,0.35856,0.13688
"PSIC090710Loc_DoubleSound",1100,-24,NA,0.443661762975052,0.227159546328726,NA,1.31635511154521,NA,0.0258316218344399,0.0152713686172635,0.00224906824636384,0.00120679831158812,0.363088355704928,0.662405963053434,0.683139650691593,0.154893250802685,2.74067550444635,0.0726307159193386,1.26028,0.62528,0.24052
"YKIC141009Loc_DoubleSound",500,6,1,0.380591615708963,0.105358032248098,NA,1.54627758705238,NA,0.147875941855087,0.0229046249466865,0.000835029244183231,0.000895923348877594,0.233781801702241,0.444605132360432,0.423689873681187,NA,3.2926418306653,NA,0.97212,0.48848,0.18616
"PSIC091010Loc_DoubleSound",1100,-24,NA,0.327084807946818,0.095163137215021,NA,1.81526958992607,NA,0.0807918107184083,0.0135994360217071,0.000930324673247299,0.000679077230506797,0.266450021415712,0.552060405416438,0.516911491276269,0.569589864686157,2.71171413351839,2.69780911889698,0.8598,0.379,0.12956
"PSIC091310Loc_DoubleSound",500,24,NA,0.272818480457857,0.0851308426790041,NA,2.1509250126067,NA,0.0317178669705009,0.00880951505656283,0.0007522073322158,0.00126356680121475,0.530812233682785,0.37840874117203,0.344198922428306,NA,2.68369409517971,NA,0.7028,0.31204,0.112
"PSIC111610Loc_DoubleSound",1100,-24,NA,0.363431661389758,0.0898329966440355,NA,1.64940195159675,NA,0.0621458502792605,0.0325152132213074,0.00131877410140437,0.00103411549759227,0.316628628357772,0.440272989440565,0.375740317591357,NA,2.25582565994637,NA,0.87776,0.43884,0.1696
"YKIC140130Loc_DoubleSound",500,24,1,0.2226688505609,0.0752459867422607,NA,2.60113532404579,NA,0.0147541843867884,0.00312143637134507,0.00102656322858782,0.00111667444612232,0.733167809110918,0.349944436640452,0.287478404939562,NA,2.48578806325832,NA,0.53444,0.21056,0.06508
"YKIC092311_1Loc_DoubleSound",903,24,NA,0.411627184500639,0.169028255739053,NA,1.45622940355703,NA,0.0313883829682338,0.0104416118419569,0.00113408813765554,0.00103570480171804,0.517400939841495,0.419673836575296,0.424535101882835,0.15571749989616,2.58838892622172,0.898030504081652,1.18088,0.61524,0.25664
"YKIC131213Loc_DoubleSound",500,24,1,0.0428391586590887,0.0143506205992866,0.363984220950341,11.2032559489655,0.288526853975901,0.0175418900489745,0.00510914138001775,0.000905561500832797,0.00100063192022529,0.598693431191987,0.0298471922537435,0.0273166468216585,0.506132091665709,24.8414454556986,0.0996962867455669,0.1092,0.033,0.0096
"YKIC092911_1Loc_DoubleSound",1100,-6,NA,0.273006367528319,0.0852126272305679,NA,2.20590857246897,NA,0.0246468387926964,0.00765813054068184,0.00150624563985991,0.00107197911645199,0.537502155249818,0.60775156675089,0.685843446740566,NA,2.65542289974997,NA,0.68348,0.30496,0.10652
"YKIC100111_1Loc_DoubleSound",609,-6,NA,0.343084657137762,0.0927216319989188,NA,1.77318278639369,NA,0.068381230390448,0.0140807504703722,0.00120335490414447,0.00115396600866481,0.272498354470402,0.510936822152412,0.497179611642461,NA,2.80080691933362,NA,0.88004,0.41584,0.14976
"YKIC110211_1Loc_DoubleSound",500,-6,NA,0.207935053861488,0.0851667870668533,NA,2.93744300181408,NA,0.013622936709419,0.00437898699893947,0.000352377905996038,0.000715276668946084,0.687722818354228,0.534514590878759,0.545643941179244,NA,3.47684889724364,NA,0.54936,0.1958,0.05332
"YKIC110911Loc_DoubleSound",500,-24,NA,0.324620704848087,0.182712344076629,0.933474817895858,1.89150730880457,0.423975899179019,0.0144564487668079,0.00381470034885108,0.00065506213982781,0.000775732943083929,0.730224105371714,0.378781260843991,0.3620000935485,NA,3.04046915096525,NA,0.93452,0.42,0.15948
